name,kana,per,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,vitA_ug,vitB1_mg,vitB2_mg,vitC_mg
こめ　［水稲めし］　はいが精米,こめ　［水稲めし］　はいが精米,100,159.0,2.7,0.6,34.5,0.8,0.0,0.0,0.0,0.0
こめ　［水稲めし］　発芽玄米,こめ　［水稲めし］　発芽玄米,100,161.0,3.0,1.4,30.2,1.8,0.0,0.0,0.0,0.0
こめ　［水稲めし］　赤米,こめ　［水稲めし］　赤米,100,150.0,3.8,1.3,28.2,3.4,0.0,0.0,0.0,0.0
こめ　［水稲めし］　黒米,こめ　［水稲めし］　黒米,100,150.0,3.6,1.4,28.2,3.3,1.0,0.0,0.0,0.0
こめ　［水稲軟めし］　精白米,こめ　［水稲軟めし］　精白米,100,113.0,1.8,0.3,24.7,1.1,0.0,0.0,0.0,0.0
こめ　［水稲全かゆ］　玄米,こめ　［水稲全かゆ］　玄米,100,64.0,1.2,0.4,13.6,0.6,0.0,0.0,0.0,0.0
こめ　［水稲全かゆ］　半つき米,こめ　［水稲全かゆ］　半つき米,100,65.0,1.1,0.3,14.2,0.3,0.0,0.0,0.0,0.0
こめ　［水稲全かゆ］　七分つき米,こめ　［水稲全かゆ］　七分つき米,100,68.0,1.1,0.2,14.2,0.2,0.0,0.0,0.0,0.0
こめ　［水稲全かゆ］　精白米,こめ　［水稲全かゆ］　精白米,100,65.0,1.1,0.1,14.7,0.1,0.0,0.0,0.0,0.0
こめ　［水稲五分かゆ］　玄米,こめ　［水稲五分かゆ］　玄米,100,32.0,0.6,0.2,6.8,0.3,0.0,0.0,0.0,0.0
こめ　［水稲五分かゆ］　半つき米,こめ　［水稲五分かゆ］　半つき米,100,32.0,0.6,0.1,7.1,0.1,0.0,0.0,0.0,0.0
こめ　［水稲五分かゆ］　七分つき米,こめ　［水稲五分かゆ］　七分つき米,100,32.0,0.6,0.1,7.1,0.1,0.0,0.0,0.0,0.0
こめ　［水稲五分かゆ］　精白米,こめ　［水稲五分かゆ］　精白米,100,33.0,0.5,0.1,7.4,0.1,0.0,0.0,0.0,0.0
こめ　［水稲おもゆ］　玄米,こめ　［水稲おもゆ］　玄米,100,19.0,0.4,0.1,4.0,0.2,0.0,0.0,0.0,0.0
こめ　［水稲おもゆ］　半つき米,こめ　［水稲おもゆ］　半つき米,100,19.0,0.3,0.1,4.2,0.1,0.0,0.0,0.0,0.0
こめ　［水稲おもゆ］　七分つき米,こめ　［水稲おもゆ］　七分つき米,100,20.0,0.3,0.1,4.2,0.0,0.0,0.0,0.0,0.0
こめ　［水稲おもゆ］　精白米,こめ　［水稲おもゆ］　精白米,100,19.0,0.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0
こめ　［陸稲穀粒］　玄米,こめ　［陸稲穀粒］　玄米,100,357.0,10.1,2.7,71.3,3.0,0.0,0.0,0.0,0.0
こめ　［陸稲穀粒］　半つき米,こめ　［陸稲穀粒］　半つき米,100,356.0,9.6,1.8,74.1,1.4,0.0,0.0,0.0,0.0
